Apartment Name,Address,Rent,Features,Appliances,school_name_1,Grades_1,Rank_1,school_name_2,Grades_2,Rank_2,school_name_3,Grades_3,Rank_3,ZIP Code,City,BORO,Average Rent,If_Pets_Allowed
"4311 Ditmars Blvd #2F, Astoria, NY 11105","4311 Ditmars Blvd #2F, Astoria, NY 11105","$2,200/mo",ApartmentAvailable --- ---- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,,,,,,,,,,,11105,Astoria,QUEENS,2200.0,N/A
"363 Ocean Pkwy APT C12, Brooklyn, NY 11218","363 Ocean Pkwy APT C12, Brooklyn, NY 11218","$1,875/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/CShared laundry-- Parking-- Heating",,,,,,,,,,,11218,Brooklyn,BROOKLYN,1875.0,Allowed
"213 N 5th St APT 2L, Brooklyn, NY 11211","213 N 5th St APT 2L, Brooklyn, NY 11211","$3,190/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,,,,,,,,,,,11211,Brooklyn,BROOKLYN,3190.0,N/A
"492 Lefferts Ave APT 7F, Brooklyn, NY 11225","492 Lefferts Ave APT 7F, Brooklyn, NY 11225","$2,400/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airShared laundryGarage parking-- Heating",,,,,,,,,,,11225,Brooklyn,BROOKLYN,2400.0,Allowed
"235 W 56th St APT 39K, New York, NY 10019","235 W 56th St APT 39K, New York, NY 10019","$5,115/mo","ApartmentAvailable Mon Oct 21 2024-- One-time feesCats, dogs OK-- A/CShared laundryGarage parking-- Heating",,,,,,,,,,,10019,New York,MANHATTAN,5115.0,Allowed
"152-11 89th Ave #242, Jamaica, NY 11432","152-11 89th Ave #242, Jamaica, NY 11432","$2,550/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OK-- A/CIn unit laundry + 1Garage parking-- Heating",,,,,,,,,,,11432,Jamaica,QUEENS,2550.0,Allowed
"18 6th Ave #3114, Brooklyn, NY 11217","18 6th Ave #3114, Brooklyn, NY 11217","$4,300/mo","ApartmentAvailable Sat Oct 12 2024-- One-time feesCats, dogs OK-- A/CIn unit laundry + 1-- Parking-- Heating",,,,,,,,,,,11217,Brooklyn,BROOKLYN,4300.0,Allowed
"33-03 Parsons Blvd #2, Flushing, NY 11354","33-03 Parsons Blvd #2, Flushing, NY 11354","$2,300/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,,,,,,,,,,,11354,Flushing,QUEENS,2300.0,N/A
"536 W 143rd St #29, New York, NY 10031","536 W 143rd St #29, New York, NY 10031","$2,185/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",,,,,,,,,,,10031,New York,MANHATTAN,2185.0,Allowed
"15 Stanton St #4AC, New York, NY 10002","15 Stanton St #4AC, New York, NY 10002","$3,499/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",,,,,,,,,,,10002,New York,MANHATTAN,3499.0,Allowed
"2610 University Ave #S2, Bronx, NY 10468","2610 University Ave #S2, Bronx, NY 10468","$1,800/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OK-- A/CIn unit laundry + 1-- Parking-- Heating",,,,,,,,,,,10468,Bronx,BRONX,1800.0,Allowed
"1609 Ocean Ave APT 1B, Brooklyn, NY 11230","1609 Ocean Ave APT 1B, Brooklyn, NY 11230","$1,685/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",,,,,,,,,,,11230,Brooklyn,BROOKLYN,1685.0,Allowed
"1050 Bedford Ave #3A, Brooklyn, NY 11205","1050 Bedford Ave #3A, Brooklyn, NY 11205","$3,135/mo",ApartmentAvailable Fri Nov 1 2024-- One-time feesDogs OKCentral airIn unit laundry-- Parking-- Heating,,,,,,,,,,,11205,Brooklyn,BROOKLYN,3135.0,Allowed
